$ RUST_LOG=trace ../stc/target/debug/stc iterate index.ts
[2022-11-05T12:05:15Z INFO  stc] Initialization took 7.0148ms
[2022-11-05T12:05:15Z INFO  stc] Loading builtin libraries took 257.7µs
[2022-11-05T12:05:15Z INFO  stc] Loading typing libraries took 1.0483ms
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(2): animal.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(3): dog.ts
[2022-11-05T12:05:15Z DEBUG stc_ts_module_loader] Loaded ModuleId(1): index.ts
